PTTI Scenario 2a Trig											
Economic											
	Total_NHS_Costs	515819937.0201561									
	Total_Productivity_Loss	800952188301.5846									
Medical											
	Cases	7787334.153038101									
	Deaths	63591.888058090626									
	Hospital	83350.97124036551									
	ICU	14708.994924770383									
Testing											
	Laboratories	9	261	261	261	261					
	Max_Laboratories	261									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	42125064.99613838	5251157765.97437	7708110484.173657	7708121999.968525	7536830399.999999					
	Testing_Total_Costs	28246345715.11269									
Tracing											
	Max_Supervisors	2699									
	Max_Tracers	134947									
	Tracers	0	57693	134947	6929	2	1	1	1	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	4747600829.0	6819272341.0	115300287.0	61248906.0	61241102.99999999	61241102.99999999	61241102.99999999	61241102.99999999	58519276.199999996
	Tracing_Total_Costs	12100463301.2									
